[Name],,,
sst-pro,,,
,,,
[Data],,,
z,axial-velocity,turb-kinetic-energy,specific-diss-rate
0.0131844,-2.817296,0.21335769,209809.27
0.013058066,-6.8509517,1.5736856,76848.711
0.012929039,-8.9774857,1.9124509,38648.152
0.012797261,-10.25294,2.0934749,24628.855
0.012662671,-11.135213,2.1889741,17773.08
0.01252521,-11.805465,2.237632,13781.772
0.012384819,-12.346342,2.2600996,11190.794
0.012241432,-12.800791,2.266897,9380.8203
0.012094988,-13.193641,2.2636969,8048.2148
0.011945421,-13.540444,2.2537441,7027.5874
0.011792663,-13.851551,2.2390025,6221.5298
0.011636647,-14.134177,2.2207196,5569.1035
0.011477305,-14.393547,2.1997228,5030.3115
0.011314563,-14.633554,2.17658,4577.8545
0.01114835,-14.85718,2.1516938,4192.481
0.010978593,-15.066746,2.1253586,3860.2402
0.010805216,-15.264099,2.0977938,3570.78
0.010628141,-15.450728,2.0691681,3316.2629
0.010447288,-15.627848,2.039614,3090.6487
0.010262579,-15.796456,2.0092378,2889.2092
0.01007393,-15.95739,1.9781281,2708.1926
0.009881258,-16.111345,1.9463595,2544.585
0.009684477,-16.258913,1.9139978,2395.939
0.0094835,-16.400591,1.8811016,2260.2468
0.009278234,-16.536804,1.8477256,2135.8484
0.009068592,-16.667915,1.8139218,2021.3595
0.008854479,-16.794233,1.7797408,1915.6179
0.008635799,-16.916021,1.7452333,1817.6423
0.008412454,-17.033501,1.7104512,1726.5992
0.008184347,-17.146864,1.6754482,1641.7777
0.007951375,-17.256269,1.6402801,1562.569
0.007713433,-17.361847,1.6050066,1488.4504
0.007470418,-17.463705,1.5696911,1418.9722
0.007222218,-17.561932,1.5344014,1353.7466
0.006968726,-17.65659,1.4992106,1292.4396
0.006709827,-17.747726,1.4641972,1234.7638
0.006445407,-17.835373,1.4294457,1180.4725
0.006175347,-17.91954,1.3950474,1129.3549
0.005899527,-18.000225,1.3611003,1081.2321
0.005617825,-18.077414,1.3277099,1035.9537
0.005330115,-18.151072,1.294989,993.39557
0.005036268,-18.221151,1.2630587,953.45691
0.004736154,-18.287598,1.2320482,916.05859
0.00442964,-18.35033,1.2020949,881.14185
0.004116588,-18.409266,1.1733449,848.66675
0.00379686,-18.464296,1.1459526,818.61127
0.003470313,-18.515308,1.1200809,790.97064
0.003136801,-18.562164,1.0959014,765.75677
0.002796176,-18.604713,1.0735936,742.99817
0.002448287,-18.642786,1.0533452,722.73962
0.002092977,-18.676193,1.0353516,705.04272
0.00173009,-18.704723,1.0198159,689.98669
0.001359463,-18.728142,1.0069478,677.66888
0.000980932,-18.746183,0.9969635,668.20636
0.000594328,-18.758554,0.99008477,661.73633
0.000199493,-18.764925,0.98652285,658.4079
